title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes
Fantomas Unleashed,movie,"Adventure, Comedy, Crime",1965.0,6.8,8669.0
Fantomas,movie,"Adventure, Comedy, Crime",1964.0,6.9,12705.0
Fantomas vs. Scotland Yard,movie,"Adventure, Comedy, Crime",1967.0,6.7,8247.0
The Karate Kid,movie,"Action, Drama, Family",1984.0,7.3,255065.0
Marie Antoinette,movie,"Biography, Drama, History",2006.0,6.5,126125.0
Traffic,movie,"Crime, Drama, Thriller",2000.0,7.6,223764.0
Open Your Eyes,movie,"Drama, Mystery, Sci-Fi",1997.0,7.7,74827.0
Vanilla Sky,movie,"Fantasy, Mystery, Romance",2001.0,6.9,292327.0
Memoirs of a Geisha,movie,"Drama, Romance",2005.0,7.3,165570.0
The Sea Inside,movie,"Biography, Drama",2004.0,8.0,86588.0
"Manta, Manta",movie,Comedy,1991.0,5.7,6015.0
Away from Her,movie,Drama,2006.0,7.5,23348.0
Sweet November,movie,"Drama, Romance",2001.0,6.7,96362.0
September 11,movie,Drama,2002.0,6.8,6015.0
Hulk,movie,"Action, Sci-Fi",2003.0,5.6,284020.0
The Amazing Spider-Man,movie,"Action, Sci-Fi",2012.0,6.9,725696.0
Stomp the Yard,movie,"Drama, Music, Romance",2007.0,5.4,26767.0
The Others,movie,"Horror, Mystery, Thriller",2001.0,7.6,406309.0
Me and My Sister,movie,"Comedy, Drama",2004.0,6.4,1908.0
An Unfinished Life,movie,"Drama, Family, Romance",2005.0,7.0,34778.0
Crank,movie,"Action, Crime, Thriller",2006.0,6.9,269403.0
Zodiac,movie,"Crime, Drama, Mystery",2007.0,7.7,627925.0
The Butterfly Effect,movie,"Drama, Sci-Fi, Thriller",2004.0,7.6,536462.0
Enough,movie,"Crime, Drama, Thriller",2002.0,5.8,49226.0
A Perfect Murder,movie,"Crime, Drama, Thriller",1998.0,6.6,94729.0
Alexander,movie,"Action, Biography, Drama",2004.0,5.6,179330.0
Bra Boys,movie,"Documentary, Sport",2007.0,6.2,1402.0
The Constant Gardener,movie,"Drama, Mystery, Romance",2005.0,7.3,151740.0
Paranoid Park,movie,"Crime, Drama, Mystery",2007.0,6.6,32332.0
Death Proof,movie,"Drama, Thriller",2007.0,7.0,322048.0
Lara Croft: Tomb Raider,movie,"Action, Adventure, Fantasy",2001.0,5.8,223738.0
Lara Croft: Tomb Raider - The Cradle of Life,movie,"Action, Adventure, Fantasy",2003.0,5.5,147678.0
"4 Months, 3 Weeks and 2 Days",movie,Drama,2007.0,7.9,64407.0
Persepolis,movie,"Animation, Biography, Drama",2007.0,8.0,102208.0
Secret Sunshine,movie,Drama,2007.0,7.5,10055.0
The Wedding Planner,movie,"Comedy, Romance",2001.0,5.4,89100.0
Hard Target,movie,"Action, Crime, Thriller",1993.0,6.2,58540.0
Mr. Deeds,movie,"Comedy, Romance",2002.0,5.8,156923.0
The Patriot,movie,"Action, Drama, History",2000.0,7.2,301764.0
A Few Days with Me,movie,"Comedy, Drama, Romance",1988.0,7.0,1263.0
Training Day,movie,"Crime, Drama, Thriller",2001.0,7.8,490816.0
The Whole Nine Yards,movie,"Comedy, Crime",2000.0,6.7,131810.0
Halloween,movie,Horror,2007.0,6.0,134329.0
Romeo Must Die,movie,"Action, Crime, Thriller",2000.0,6.1,75047.0
Requiem,movie,"Action, Crime, Horror",2001.0,5.0,556.0
Rush Hour,movie,"Action, Comedy, Crime",1998.0,7.0,307568.0
The Perfect Storm,movie,"Action, Adventure, Drama",2000.0,6.5,182528.0
The Storm Riders,movie,"Action, Adventure, Fantasy",1998.0,6.3,4212.0
Kiss of the Dragon,movie,"Action, Crime, Thriller",2001.0,6.6,67832.0
The Glass House,movie,"Crime, Drama, Mystery",2001.0,5.8,40934.0
Heartbreak Hotel,movie,"Comedy, Drama, Music",2006.0,5.4,1698.0
Unfaithful,movie,"Drama, Romance, Thriller",2002.0,6.7,101910.0
Eastern Promises,movie,"Crime, Drama, Thriller",2007.0,7.6,268842.0
Lola,movie,"Drama, Romance",1981.0,7.4,7044.0
The Golden Compass,movie,"Adventure, Family, Fantasy",2007.0,6.1,199737.0
Mr. Magorium's Wonder Emporium,movie,"Comedy, Family, Fantasy",2007.0,6.2,48353.0
Closer,movie,"Drama, Romance",2004.0,7.2,242644.0
Cold Mountain,movie,"Adventure, Drama, Romance",2003.0,7.2,159652.0
Clerks,movie,Comedy,1994.0,7.7,235886.0
Space Jam,movie,"Adventure, Animation, Comedy",1996.0,6.5,220262.0
The Wounded Man,movie,"Crime, Drama, Romance",1983.0,6.6,1382.0
Beowulf,movie,"Action, Adventure, Animation",2007.0,6.3,176727.0
In the Name of the King: A Dungeon Siege Tale,movie,"Action, Adventure, Fantasy",2007.0,3.8,51883.0
Executive Decision,movie,"Action, Adventure, Thriller",1996.0,6.5,63069.0
Field of Dreams,movie,"Drama, Family, Fantasy",1989.0,7.5,132821.0
Taxi,movie,"Action, Comedy, Crime",1998.0,7.0,92072.0
Taxi 2,movie,"Action, Comedy, Crime",2000.0,6.5,60669.0
Taxi 3,movie,"Action, Comedy, Crime",2003.0,5.8,46868.0
